Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-12-2019,AARTIIND,EQ,827.25,828,836.15,801.6,808.65,806.85,811.4,169156,1.37254E+13,5565,144141,0.8521
04-12-2019,AARTIIND,EQ,806.85,802,814.45,799.75,810,806,807.29,55378,4.47062E+12,3706,32887,0.5939
05-12-2019,AARTIIND,EQ,806,813.8,823.35,797.85,800,800.05,805.6,77427,6.23755E+12,5871,54630,0.7056
06-12-2019,AARTIIND,EQ,800.05,802,808.8,763,788.9,781.35,786.86,131338,1.03344E+13,9988,86467,0.6584
09-12-2019,AARTIIND,EQ,781.35,789,808,782.2,799.85,795.65,795.72,159481,1.26903E+13,8964,106840,0.6699
10-12-2019,AARTIIND,EQ,795.65,803.7,807.35,781.05,784.4,784.65,795.49,50465,4.01444E+12,5069,28536,0.5655
11-12-2019,AARTIIND,EQ,784.65,787.8,798,778.2,783.8,780.95,787.86,89174,7.02568E+12,4669,67683,0.759
12-12-2019,AARTIIND,EQ,780.95,786.1,801,781,790,793.05,794.48,36728,2.91797E+12,2763,18594,0.5063
13-12-2019,AARTIIND,EQ,793.05,796.25,796.75,778,780,779.85,786.6,102094,8.03071E+12,7419,74780,0.7325
16-12-2019,AARTIIND,EQ,779.85,779.85,807.7,770,773.8,772.7,781.7,172453,1.34806E+13,7984,128124,0.743
17-12-2019,AARTIIND,EQ,772.7,778.7,781,766.1,771,768.7,770.54,84265,6.49292E+12,4405,59311,0.7039
18-12-2019,AARTIIND,EQ,768.7,774,778.65,761,769.05,768.3,769.77,58145,4.47584E+12,4890,30259,0.5204
19-12-2019,AARTIIND,EQ,768.3,773.6,778.45,766.55,774,773.95,774.5,99396,7.69823E+12,4183,75502,0.7596
20-12-2019,AARTIIND,EQ,773.95,774.1,788.3,759.5,764,764.25,769.73,164885,1.26917E+13,8546,103885,0.63
23-12-2019,AARTIIND,EQ,764.25,768,785,764.3,780,781.9,775.9,165307,1.28262E+13,8873,89552,0.5417
24-12-2019,AARTIIND,EQ,781.9,784,806,779.55,805.15,804,800.96,344445,2.75887E+13,9054,248217,0.7206
26-12-2019,AARTIIND,EQ,804,810,835,809.85,834.4,830.9,828.92,399794,3.31396E+13,20125,165327,0.4135
27-12-2019,AARTIIND,EQ,830.9,837,844.75,824.1,833.25,835.1,837.45,209303,1.75282E+13,8092,119696,0.5719
30-12-2019,AARTIIND,EQ,835.1,837,840,828,838,837.75,834.25,146492,1.22212E+13,5074,104143,0.7109
31-12-2019,AARTIIND,EQ,837.75,838,845,810,835,830.75,836.96,134712,1.12748E+13,7254,101208,0.7513
01-01-2020,AARTIIND,EQ,830.75,836,843,831.1,838.7,837.8,837.24,87969,7.36513E+12,2841,66232,0.7529
02-01-2020,AARTIIND,EQ,837.8,840,845,838.15,840,840.25,840.18,85373,7.17286E+12,7202,66666,0.7809
03-01-2020,AARTIIND,EQ,840.25,844.8,844.8,834,841,840.7,840.48,91994,7.73189E+12,8510,69349,0.7538
06-01-2020,AARTIIND,EQ,840.7,837.2,858.2,834,855,855.95,848.11,222387,1.88608E+13,11205,137135,0.6167
07-01-2020,AARTIIND,EQ,855.95,864.8,905.1,860,890,892.25,891.57,682246,6.08272E+13,14269,415827,0.6095
08-01-2020,AARTIIND,EQ,892.25,889,889,875,882,880.7,881.52,143313,1.26333E+13,8086,96106,0.6706
